code;problem_1;problem_2;problem_3;problem_4;problems
;;;;;___
P0584 ;Cruise Control Vacuum Control Circuit High;;;;Cruise Control Vacuum Control Circuit High___
;;;;;___
P0585 ;Cruise Control Multi;"Function Input ""A""/""B"" Correlation";;;"Cruise Control Multi_Function Input ""A""/""B"" Correlation__"
;;;;;___
P0586 ;Cruise Control Vent Control Circuit/Open;;;;Cruise Control Vent Control Circuit/Open___
;;;;;___
P0587 ;Cruise Control Vent Control Circuit Low;;;;Cruise Control Vent Control Circuit Low___
;;;;;___
P0588 ;Cruise Control Vent Control Circuit High;;;;Cruise Control Vent Control Circuit High___
;;;;;___
P0589 ;Cruise Control Multi;"Function Input ""B"" Circuit";;;"Cruise Control Multi_Function Input ""B"" Circuit__"
;;;;;___
P058A ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P058B ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P058C ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P058D ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P058E ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P058F ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P0590 ;Cruise Control Multi;"Function Input ""B"" Circuit Stuck";;;"Cruise Control Multi_Function Input ""B"" Circuit Stuck__"
;;;;;___
P0591 ;Cruise Control Multi;"Function Input ""B"" Circuit Range/Performance";;;"Cruise Control Multi_Function Input ""B"" Circuit Range/Performance__"
;;;;;___
P0592 ;Cruise Control Multi;"Function Input ""B"" Circuit Low";;;"Cruise Control Multi_Function Input ""B"" Circuit Low__"
;;;;;___
P0593 ;Cruise Control Multi;"Function Input ""B"" Circuit High";;;"Cruise Control Multi_Function Input ""B"" Circuit High__"
;;;;;___
P0594 ;Cruise Control Servo Control Circuit/Open;;;;Cruise Control Servo Control Circuit/Open___
;;;;;___
P0595 ;Cruise Control Servo Control Circuit Low;;;;Cruise Control Servo Control Circuit Low___
;;;;;___
P0596 ;Cruise Control Servo Control Circuit High;;;;Cruise Control Servo Control Circuit High___
;;;;;___
P0597 ;Thermostat Heater Control Circuit/Open;;;;Thermostat Heater Control Circuit/Open___
;;;;;___
P0598 ;Thermostat Heater Control Circuit Low;;;;Thermostat Heater Control Circuit Low___
;;;;;___
P0599 ;Thermostat Heater Control Circuit High;;;;Thermostat Heater Control Circuit High___
;;;;;___
P059A ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P05FF ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
P0600 through P0699;;;;;___
;;;;;___
P0600 ;Serial Communication Link Malfunction;;;;Serial Communication Link Malfunction___
;;;;;___
P0601 ;Internal Control Module Memory Check Sum Error;;;;Internal Control Module Memory Check Sum Error___
;;;;;___
P0602 ;Control Module Programming Error;;;;Control Module Programming Error___
;;;;;___
P0603 ;Internal Control Module Keep Alive Memory (KAM) Error;;;;Internal Control Module Keep Alive Memory (KAM) Error___
;;;;;___
P0604 ;Internal Control Module Random Access Memory (RAM) Error;;;;Internal Control Module Random Access Memory (RAM) Error___
;;;;;___
P0605 ;Internal Control Module Read Only Memory (ROM) Error;;;;Internal Control Module Read Only Memory (ROM) Error___
;;;;;___
P0606 ;PCM Processor Fault;;;;PCM Processor Fault___
;;;;;___
P0607 ;Control Module Performance;;;;Control Module Performance___
;;;;;___
P0608 ;"Control Module VSS Output ""A"" Malfunction";;;;"Control Module VSS Output ""A"" Malfunction___"
;;;;;___
P0609 ;"Control Module VSS Output ""B"" Malfunction";;;;"Control Module VSS Output ""B"" Malfunction___"
;;;;;___
P060A ;Internal Control Module Monitoring Processor Performance;;;;Internal Control Module Monitoring Processor Performance___
;;;;;___
P060B ;Internal Control Module A/D Processing Performance;;;;Internal Control Module A/D Processing Performance___
;;;;;___
P060C ;Internal Control Module Main Processor Performance;;;;Internal Control Module Main Processor Performance___
;;;;;___
P060D ;Internal Control Module Accelerator Pedal Position Performance;;;;Internal Control Module Accelerator Pedal Position Performance___
;;;;;___
P060E ;Internal Control Module Throttle Position Performance;;;;Internal Control Module Throttle Position Performance___
;;;;;___
P060F ;Internal Control Module Coolant Temperature Performance;;;;Internal Control Module Coolant Temperature Performance___
;;;;;___
P0610 ;Control Module Vehicle Options Error;;;;Control Module Vehicle Options Error___
;;;;;___
P0611 ;Fuel Injector Control Module Performance;;;;Fuel Injector Control Module Performance___
;;;;;___
P0612 ;Fuel Injector Control Module Relay Control;;;;Fuel Injector Control Module Relay Control___
;;;;;___
P0613 ;TCM Processor;;;;TCM Processor___
;;;;;___
P0614 ;ECM / TCM Incompatible;;;;ECM / TCM Incompatible___
;;;;;___
P0615 ;Starter Relay Circuit;;;;Starter Relay Circuit___
;;;;;___
P0616 ;Starter Relay Circuit Low;;;;Starter Relay Circuit Low___
;;;;;___
P0617 ;Starter Relay Circuit High;;;;Starter Relay Circuit High___
;;;;;___
P0618 ;Alternative Fuel Control Module KAM Error;;;;Alternative Fuel Control Module KAM Error___
;;;;;___
P0619 ;Alternative Fuel Control Module RAM/ROM Error;;;;Alternative Fuel Control Module RAM/ROM Error___
;;;;;___
P061A ;Internal Control Module Torque Performance;;;;Internal Control Module Torque Performance___
;;;;;___
P061B ;Internal Control Module Torque Calculation Performance;;;;Internal Control Module Torque Calculation Performance___
;;;;;___
P061C ;Internal Control Module Engine RPM Performance;;;;Internal Control Module Engine RPM Performance___
;;;;;___
P061D ;Internal Control Module Engine Air Mass Performance;;;;Internal Control Module Engine Air Mass Performance___
;;;;;___
P061E ;Internal Control Module Brake Signal Performance;;;;Internal Control Module Brake Signal Performance___
;;;;;___
P061F ;Internal Control Module Throttle Actuator Controller Performance;;;;Internal Control Module Throttle Actuator Controller Performance___
;;;;;___
P0620 ;Generator Control Circuit Malfunction;;;;Generator Control Circuit Malfunction___
;;;;;___
P0621 ;"Generator Lamp ""L"" Control Circuit Malfunction";;;;"Generator Lamp ""L"" Control Circuit Malfunction___"
;;;;;___
P0622 ;"Generator Field ""F"" Control Circuit Malfunction";;;;"Generator Field ""F"" Control Circuit Malfunction___"
;;;;;___
P0623 ;Generator Lamp Control Circuit;;;;Generator Lamp Control Circuit___
;;;;;___
P0624 ;Fuel Cap Lamp Control Circuit;;;;Fuel Cap Lamp Control Circuit___
;;;;;___
P0625 ;Generator Field/F Terminal Circuit Low;;;;Generator Field/F Terminal Circuit Low___
;;;;;___
P0626 ;Generator Field/F Terminal Circuit High;;;;Generator Field/F Terminal Circuit High___
;;;;;___
P0627 ;"Fuel Pump ""A"" Control Circuit /Open";;;;"Fuel Pump ""A"" Control Circuit /Open___"
;;;;;___
P0628 ;"Fuel Pump ""A"" Control Circuit Low";;;;"Fuel Pump ""A"" Control Circuit Low___"
;;;;;___
P0629 ;"Fuel Pump ""A"" Control Circuit High";;;;"Fuel Pump ""A"" Control Circuit High___"
;;;;;___
P062A ;"Fuel Pump ""A"" Control Circuit Range/Performance";;;;"Fuel Pump ""A"" Control Circuit Range/Performance___"
;;;;;___
P062B ;Internal Control Module Fuel Injector Control Performance;;;;Internal Control Module Fuel Injector Control Performance___
;;;;;___
P062C ;Internal Control Module Vehicle Speed Performance;;;;Internal Control Module Vehicle Speed Performance___
;;;;;___
P062D ;Fuel Injector Driver Circuit Performance Bank 1;;;;Fuel Injector Driver Circuit Performance Bank 1___
;;;;;___
P062E ;Fuel Injector Driver Circuit Performance Bank 2;;;;Fuel Injector Driver Circuit Performance Bank 2___
;;;;;___
P062F ;Internal Control Module EEPROM Error;;;;Internal Control Module EEPROM Error___
;;;;;___
P0630 ;VIN Not Programmed or Incompatible â€“ ECM/PCM;;;;VIN Not Programmed or Incompatible â€“ ECM/PCM___
;;;;;___
P0631 ;VIN Not Programmed or Incompatible â€“ TCM;;;;VIN Not Programmed or Incompatible â€“ TCM___
;;;;;___
P0632 ;Odometer Not Programmed â€“ ECM/PCM;;;;Odometer Not Programmed â€“ ECM/PCM___
;;;;;___
P0633 ;Immobilizer Key Not Programmed â€“ ECM/PCM;;;;Immobilizer Key Not Programmed â€“ ECM/PCM___
;;;;;___
P0634 ;PCM/ECM/TCM Internal Temperature Too High;;;;PCM/ECM/TCM Internal Temperature Too High___
;;;;;___
P0635 ;Power Steering Control Circuit;;;;Power Steering Control Circuit___
;;;;;___
P0636 ;Power Steering Control Circuit Low;;;;Power Steering Control Circuit Low___
;;;;;___
P0637 ;Power Steering Control Circuit High;;;;Power Steering Control Circuit High___
;;;;;___
P0638 ;Throttle Actuator Control Range/Performance (Bank 1);;;;Throttle Actuator Control Range/Performance (Bank 1)___
;;;;;___
P0639 ;Throttle Actuator Control Range/Performance (Bank 2);;;;Throttle Actuator Control Range/Performance (Bank 2)___
;;;;;___
P063A ;Generator Voltage Sense Circuit;;;;Generator Voltage Sense Circuit___
;;;;;___
P063B ;Generator Voltage Sense Circuit Range/Performance;;;;Generator Voltage Sense Circuit Range/Performance___
;;;;;___
P063C ;Generator Voltage Sense Circuit Low;;;;Generator Voltage Sense Circuit Low___
;;;;;___
P063D ;Generator Voltage Sense Circuit High;;;;Generator Voltage Sense Circuit High___
;;;;;___
P063E ;Auto Configuration Throttle Input Not Present;;;;Auto Configuration Throttle Input Not Present___
;;;;;___
P063F ;Auto Configuration Engine Coolant Temperature Input Not Present;;;;Auto Configuration Engine Coolant Temperature Input Not Present___
;;;;;___
P0640 ;Intake Air Heater Control Circuit;;;;Intake Air Heater Control Circuit___
;;;;;___
P0641 ;"Sensor Reference Voltage ""A"" Circuit Open";;;;"Sensor Reference Voltage ""A"" Circuit Open___"
;;;;;___
P0642 ;"Sensor Reference Voltage ""A"" Circuit Low";;;;"Sensor Reference Voltage ""A"" Circuit Low___"
;;;;;___
P0643 ;"Sensor Reference Voltage ""A"" Circuit High";;;;"Sensor Reference Voltage ""A"" Circuit High___"
;;;;;___
P0644 ;Driver Display Serial Communication Circuit;;;;Driver Display Serial Communication Circuit___
;;;;;___
P0645 ;A/C Clutch Relay Control Circuit;;;;A/C Clutch Relay Control Circuit___
;;;;;___
P0646 ;A/C Clutch Relay Control Circuit Low;;;;A/C Clutch Relay Control Circuit Low___
;;;;;___
P0647 ;A/C Clutch Relay Control Circuit High;;;;A/C Clutch Relay Control Circuit High___
;;;;;___
P0648 ;Immobilizer Lamp Control Circuit;;;;Immobilizer Lamp Control Circuit___
;;;;;___
P0649 ;Speed Control Lamp Control Circuit;;;;Speed Control Lamp Control Circuit___
;;;;;___
P064A ;Fuel Pump Control Module;;;;Fuel Pump Control Module___
;;;;;___
P064B ;PTO Control Module;;;;PTO Control Module___
;;;;;___
P064C ;Glow Plug Control Module;;;;Glow Plug Control Module___
;;;;;___
P064D ;Internal Control Module O2 Sensor Processor Performance Bank 1;;;;Internal Control Module O2 Sensor Processor Performance Bank 1___
;;;;;___
P064E ;Internal Control Module O2 Sensor Processor Performance Bank 2;;;;Internal Control Module O2 Sensor Processor Performance Bank 2___
;;;;;___
P064F ;Unauthorized Software/Calibration Detected;;;;Unauthorized Software/Calibration Detected___
;;;;;___
P0650 ;Malfunction Indicator Lamp (MIL) Control Circuit Malfunction;;;;Malfunction Indicator Lamp (MIL) Control Circuit Malfunction___
;;;;;___
P0651 ;"Sensor Reference Voltage ""B"" Circuit Open";;;;"Sensor Reference Voltage ""B"" Circuit Open___"
;;;;;___
P0652 ;"Sensor Reference Voltage ""B"" Circuit Low";;;;"Sensor Reference Voltage ""B"" Circuit Low___"
;;;;;___
P0653 ;"Sensor Reference Voltage ""B"" Circuit High";;;;"Sensor Reference Voltage ""B"" Circuit High___"
;;;;;___
P0654 ;Engine RPM Output Circuit Malfunction;;;;Engine RPM Output Circuit Malfunction___
;;;;;___
P0655 ;Engine Hot Lamp Output Control Circuit Malfunction;;;;Engine Hot Lamp Output Control Circuit Malfunction___
;;;;;___
P0656 ;Fuel Level Output Circuit Malfunction;;;;Fuel Level Output Circuit Malfunction___
;;;;;___
P0657 ;"Actuator Supply Voltage ""A"" Circuit/Open";;;;"Actuator Supply Voltage ""A"" Circuit/Open___"
;;;;;___
P0658 ;"Actuator Supply Voltage ""A"" Circuit Low";;;;"Actuator Supply Voltage ""A"" Circuit Low___"
;;;;;___
P0659 ;"Actuator Supply Voltage ""A"" Circuit High";;;;"Actuator Supply Voltage ""A"" Circuit High___"
;;;;;___
P065A ;Generator System Performance;;;;Generator System Performance___
;;;;;___
P065B ;Generator Control Circuit Range/Performance;;;;Generator Control Circuit Range/Performance___
;;;;;___
P065C ;Generator Mechanical Performance;;;;Generator Mechanical Performance___
;;;;;___
P065D ;Reductant System Malfunction Lamp Control Circuit;;;;Reductant System Malfunction Lamp Control Circuit___
;;;;;___
P065E ;Intake Manifold Tuning Valve Performance Bank 1;;;;Intake Manifold Tuning Valve Performance Bank 1___
;;;;;___
P065F ;Intake Manifold Tuning Valve Performance Bank 2;;;;Intake Manifold Tuning Valve Performance Bank 2___
;;;;;___
P0660 ;Intake Manifold Tuning Valve Control Circuit/Open Bank 1;;;;Intake Manifold Tuning Valve Control Circuit/Open Bank 1___
;;;;;___
P0661 ;Intake Manifold Tuning Valve Control Circuit Low Bank 1;;;;Intake Manifold Tuning Valve Control Circuit Low Bank 1___
;;;;;___
P0662 ;Intake Manifold Tuning Valve Control Circuit High Bank 1;;;;Intake Manifold Tuning Valve Control Circuit High Bank 1___
;;;;;___
P0663 ;Intake Manifold Tuning Valve Control Circuit/Open Bank 2;;;;Intake Manifold Tuning Valve Control Circuit/Open Bank 2___
;;;;;___
P0664 ;Intake Manifold Tuning Valve Control Circuit Low Bank 2;;;;Intake Manifold Tuning Valve Control Circuit Low Bank 2___
;;;;;___
P0665 ;Intake Manifold Tuning Valve Control Circuit High Bank 2;;;;Intake Manifold Tuning Valve Control Circuit High Bank 2___
;;;;;___
P0666 ;PCM/ECM/TCM Internal Temperature Sensor Circuit;;;;PCM/ECM/TCM Internal Temperature Sensor Circuit___
;;;;;___
P0667 ;PCM/ECM/TCM Internal Temperature Sensor Range/Performance;;;;PCM/ECM/TCM Internal Temperature Sensor Range/Performance___
;;;;;___
P0668 ;PCM/ECM/TCM Internal Temperature Sensor Circuit Low;;;;PCM/ECM/TCM Internal Temperature Sensor Circuit Low___
;;;;;___
P0669 ;PCM/ECM/TCM Internal Temperature Sensor Circuit High;;;;PCM/ECM/TCM Internal Temperature Sensor Circuit High___
;;;;;___
P066A ;Cylinder 1 Glow Plug Control Circuit Low;;;;Cylinder 1 Glow Plug Control Circuit Low___
;;;;;___
P066B ;Cylinder 1 Glow Plug Control Circuit High;;;;Cylinder 1 Glow Plug Control Circuit High___
;;;;;___
P066C ;Cylinder 2 Glow Plug Control Circuit Low;;;;Cylinder 2 Glow Plug Control Circuit Low___
;;;;;___
P066D ;Cylinder 2 Glow Plug Control Circuit High;;;;Cylinder 2 Glow Plug Control Circuit High___
;;;;;___
P066E ;Cylinder 3 Glow Plug Control Circuit Low;;;;Cylinder 3 Glow Plug Control Circuit Low___
;;;;;___
P066F ;Cylinder 3 Glow Plug Control Circuit High;;;;Cylinder 3 Glow Plug Control Circuit High___
;;;;;___
P0670 ;Glow Plug Module Control Circuit;;;;Glow Plug Module Control Circuit___
;;;;;___
P0671 ;Cylinder 1 Glow Plug Circuit;;;;Cylinder 1 Glow Plug Circuit___
;;;;;___
P0672 ;Cylinder 2 Glow Plug Circuit;;;;Cylinder 2 Glow Plug Circuit___
;;;;;___
P0673 ;Cylinder 3 Glow Plug Circuit;;;;Cylinder 3 Glow Plug Circuit___
;;;;;___
P0674 ;Cylinder 4 Glow Plug Circuit;;;;Cylinder 4 Glow Plug Circuit___
;;;;;___
P0675 ;Cylinder 5 Glow Plug Circuit;;;;Cylinder 5 Glow Plug Circuit___
;;;;;___
P0676 ;Cylinder 6 Glow Plug Circuit;;;;Cylinder 6 Glow Plug Circuit___
;;;;;___
P0677 ;Cylinder 7 Glow Plug Circuit;;;;Cylinder 7 Glow Plug Circuit___
;;;;;___
P0678 ;Cylinder 8 Glow Plug Circuit;;;;Cylinder 8 Glow Plug Circuit___
;;;;;___
P0679 ;Cylinder 9 Glow Plug Circuit;;;;Cylinder 9 Glow Plug Circuit___
;;;;;___
P067A ;Cylinder 4 Glow Plug Control Circuit Low;;;;Cylinder 4 Glow Plug Control Circuit Low___
;;;;;___
P067B ;Cylinder 4 Glow Plug Control Circuit High;;;;Cylinder 4 Glow Plug Control Circuit High___
;;;;;___
P067C ;Cylinder 5 Glow Plug Control Circuit Low;;;;Cylinder 5 Glow Plug Control Circuit Low___
;;;;;___
P067D ;Cylinder 5 Glow Plug Control Circuit High;;;;Cylinder 5 Glow Plug Control Circuit High___
;;;;;___
P067E ;Cylinder 6 Glow Plug Control Circuit Low;;;;Cylinder 6 Glow Plug Control Circuit Low___
;;;;;___
P067F ;Cylinder 6 Glow Plug Control Circuit High;;;;Cylinder 6 Glow Plug Control Circuit High___
;;;;;___
P0680 ;Cylinder 10 Glow Plug Circuit;;;;Cylinder 10 Glow Plug Circuit___
;;;;;___
P0681 ;Cylinder 11 Glow Plug Circuit;;;;Cylinder 11 Glow Plug Circuit___
;;;;;___
P0682 ;Cylinder 12 Glow Plug Circuit;;;;Cylinder 12 Glow Plug Circuit___
;;;;;___
P0683 ;Glow Plug Control Module to PCM Communication Circuit;;;;Glow Plug Control Module to PCM Communication Circuit___
;;;;;___
P0684 ;Glow Plug Control Module to PCM Communication Circuit Range/Performance;;;;Glow Plug Control Module to PCM Communication Circuit Range/Performance___
;;;;;___
P0685 ;ECM/PCM Power Relay Control Circuit Open;;;;ECM/PCM Power Relay Control Circuit Open___
;;;;;___
P0686 ;ECM/PCM Power Relay Control Circuit Low;;;;ECM/PCM Power Relay Control Circuit Low___
;;;;;___
P0687 ;ECM/PCM Power Relay Control Circuit High;;;;ECM/PCM Power Relay Control Circuit High___
;;;;;___
P0688 ;ECM/PCM Power Relay Sense Circuit Open;;;;ECM/PCM Power Relay Sense Circuit Open___
;;;;;___
P0689 ;ECM/PCM Power Relay Sense Circuit Low;;;;ECM/PCM Power Relay Sense Circuit Low___
;;;;;___
P068A ;ECM/PCM Power Relay De;Energized Performance ;Too Early;;ECM/PCM Power Relay De_Energized Performance _Too Early_
;;;;;___
P068B ;ECM/PCM Power Relay De;Energized Performance ;Too Late;;ECM/PCM Power Relay De_Energized Performance _Too Late_
;;;;;___
P068C ;Cylinder 7 Glow Plug Control Circuit Low;;;;Cylinder 7 Glow Plug Control Circuit Low___
;;;;;___
P068D ;Cylinder 7 Glow Plug Control Circuit High;;;;Cylinder 7 Glow Plug Control Circuit High___
;;;;;___
P068E ;Cylinder 8 Glow Plug Control Circuit Low;;;;Cylinder 8 Glow Plug Control Circuit Low___
;;;;;___
P068F ;Cylinder 8 Glow Plug Control Circuit High;;;;Cylinder 8 Glow Plug Control Circuit High___
;;;;;___
P0690 ;ECM/PCM Power Relay Sense Circuit High;;;;ECM/PCM Power Relay Sense Circuit High___
;;;;;___
P0691 ;Fan 1 Control Circuit Low;;;;Fan 1 Control Circuit Low___
;;;;;___
P0692 ;Fan 1 Control Circuit High;;;;Fan 1 Control Circuit High___
;;;;;___
P0693 ;Fan 2 Control Circuit Low;;;;Fan 2 Control Circuit Low___
;;;;;___
P0694 ;Fan 2 Control Circuit High;;;;Fan 2 Control Circuit High___
;;;;;___
P0695 ;Fan 3 Control Circuit Low;;;;Fan 3 Control Circuit Low___
;;;;;___
P0696 ;Fan 3 Control Circuit High;;;;Fan 3 Control Circuit High___
;;;;;___
P0697 ;"Sensor Reference Voltage ""C"" Circuit Open";;;;"Sensor Reference Voltage ""C"" Circuit Open___"
;;;;;___
P0698 ;"Sensor Reference Voltage ""C"" Circuit Low";;;;"Sensor Reference Voltage ""C"" Circuit Low___"
;;;;;___
P0699 ;"Sensor Reference Voltage ""C"" Circuit High";;;;"Sensor Reference Voltage ""C"" Circuit High___"
;;;;;___
P069A ;Cylinder 9 Glow Plug Control Circuit Low;;;;Cylinder 9 Glow Plug Control Circuit Low___
;;;;;___
P069B ;Cylinder 9 Glow Plug Control Circuit High;;;;Cylinder 9 Glow Plug Control Circuit High___
;;;;;___
P069C ;Cylinder 10 Glow Plug Control Circuit Low;;;;Cylinder 10 Glow Plug Control Circuit Low___
;;;;;___
P069D ;Cylinder 10 Glow Plug Control Circuit High;;;;Cylinder 10 Glow Plug Control Circuit High___
;;;;;___
P069E ;Fuel Pump Control Module Requested MIL Illumination;;;;Fuel Pump Control Module Requested MIL Illumination___
;;;;;___
P069F ;Throttle Actuator Control Lamp Control Circuit;;;;Throttle Actuator Control Lamp Control Circuit___
;;;;;___
P06A0 ;Variable A/C Compressor Control Circuit;;;;Variable A/C Compressor Control Circuit___
;;;;;___
P06A1 ;Variable A/C Compressor Control Circuit Low;;;;Variable A/C Compressor Control Circuit Low___
;;;;;___
P06A2 ;Variable A/C Compressor Control Circuit High;;;;Variable A/C Compressor Control Circuit High___
;;;;;___
P06A3 ;"Sensor Reference Voltage ""D"" Circuit Open";;;;"Sensor Reference Voltage ""D"" Circuit Open___"
;;;;;___
P06A4 ;"Sensor Reference Voltage ""D"" Circuit Low";;;;"Sensor Reference Voltage ""D"" Circuit Low___"
;;;;;___
P06A5 ;"Sensor Reference Voltage ""D"" Circuit High";;;;"Sensor Reference Voltage ""D"" Circuit High___"
;;;;;___
P06A6 ;"Sensor Reference Voltage ""A"" Circuit Range/Performance";;;;"Sensor Reference Voltage ""A"" Circuit Range/Performance___"
;;;;;___
P06A7 ;"Sensor Reference Voltage ""B"" Circuit Range/Performance";;;;"Sensor Reference Voltage ""B"" Circuit Range/Performance___"
;;;;;___
P06A8 ;"Sensor Reference Voltage ""C"" Circuit Range/Performance";;;;"Sensor Reference Voltage ""C"" Circuit Range/Performance___"
;;;;;___
P06A9 ;"Sensor Reference Voltage ""D"" Circuit Range/Performance";;;;"Sensor Reference Voltage ""D"" Circuit Range/Performance___"
;;;;;___
P06AA ;"PCM/ECM/TCM Internal Temperature ""B"" Too High";;;;"PCM/ECM/TCM Internal Temperature ""B"" Too High___"
;;;;;___
P06AB ;"PCM/ECM/TCM Internal Temperature Sensor ""B"" Circuit";;;;"PCM/ECM/TCM Internal Temperature Sensor ""B"" Circuit___"
;;;;;___
P06AC ;"PCM/ECM/TCM Internal Temperature Sensor ""B"" Range/Performance";;;;"PCM/ECM/TCM Internal Temperature Sensor ""B"" Range/Performance___"
;;;;;___
P06AD ;"PCM/ECM/TCM Internal Temperature Sensor ""B"" Circuit Low";;;;"PCM/ECM/TCM Internal Temperature Sensor ""B"" Circuit Low___"
;;;;;___
P06AE ;"PCM/ECM/TCM Internal Temperature Sensor ""B"" Circuit High";;;;"PCM/ECM/TCM Internal Temperature Sensor ""B"" Circuit High___"
;;;;;___
P06AF ;Torque Management System ;Forced Engine Shutdown;;;Torque Management System _Forced Engine Shutdown__
;;;;;___
P06B0 ;"Sensor Power Supply ""A"" Circuit/Open";;;;"Sensor Power Supply ""A"" Circuit/Open___"
;;;;;___
P06B1 ;"Sensor Power Supply ""A"" Circuit Low";;;;"Sensor Power Supply ""A"" Circuit Low___"
;;;;;___
P06B2 ;"Sensor Power Supply ""A"" Circuit High";;;;"Sensor Power Supply ""A"" Circuit High___"
;;;;;___
P06B3 ;"Sensor Power Supply ""B"" Circuit/Open";;;;"Sensor Power Supply ""B"" Circuit/Open___"
;;;;;___
P06B4 ;"Sensor Power Supply ""B"" Circuit Low";;;;"Sensor Power Supply ""B"" Circuit Low___"
;;;;;___
P06B5 ;"Sensor Power Supply ""B"" Circuit High";;;;"Sensor Power Supply ""B"" Circuit High___"
;;;;;___
P06B6 ;Internal Control Module Knock Sensor Processor 1 Performance;;;;Internal Control Module Knock Sensor Processor 1 Performance___
;;;;;___
P06B7 ;Internal Control Module Knock Sensor Processor 2 Performance;;;;Internal Control Module Knock Sensor Processor 2 Performance___
;;;;;___
P06B8 ;Internal Control Module Non;Volatile Random Access Memory (NVRAM) Error;;;Internal Control Module Non_Volatile Random Access Memory (NVRAM) Error__
;;;;;___
P06B9 ;Cylinder 1 Glow Plug Circuit Range/Performance;;;;Cylinder 1 Glow Plug Circuit Range/Performance___
;;;;;___
P06BA ;Cylinder 2 Glow Plug Circuit Range/Performance;;;;Cylinder 2 Glow Plug Circuit Range/Performance___
;;;;;___
P06BB ;Cylinder 3 Glow Plug Circuit Range/Performance;;;;Cylinder 3 Glow Plug Circuit Range/Performance___
;;;;;___
P06BC ;Cylinder 4 Glow Plug Circuit Range/Performance;;;;Cylinder 4 Glow Plug Circuit Range/Performance___
;;;;;___
P06BD ;Cylinder 5 Glow Plug Circuit Range/Performance;;;;Cylinder 5 Glow Plug Circuit Range/Performance___
;;;;;___
P06BE ;Cylinder 6 Glow Plug Circuit Range/Performance;;;;Cylinder 6 Glow Plug Circuit Range/Performance___
;;;;;___
P06BF ;Cylinder 7 Glow Plug Circuit Range/Performance;;;;Cylinder 7 Glow Plug Circuit Range/Performance___
;;;;;___
P06C0 ;Cylinder 8 Glow Plug Circuit Range/Performance;;;;Cylinder 8 Glow Plug Circuit Range/Performance___
;;;;;___
P06C1 ;Cylinder 9 Glow Plug Circuit Range/Performance;;;;Cylinder 9 Glow Plug Circuit Range/Performance___
;;;;;___
P06C2 ;Cylinder 10 Glow Plug Circuit Range/Performance;;;;Cylinder 10 Glow Plug Circuit Range/Performance___
;;;;;___
P06C3 ;Cylinder 11 Glow Plug Circuit Range/Performance;;;;Cylinder 11 Glow Plug Circuit Range/Performance___
;;;;;___
P06C4 ;Cylinder 12 Glow Plug Circuit Range/Performance;;;;Cylinder 12 Glow Plug Circuit Range/Performance___
;;;;;___
P06C5 ;Cylinder 1 Glow Plug Incorrect;;;;Cylinder 1 Glow Plug Incorrect___
;;;;;___
P06C6 ;Cylinder 2 Glow Plug Incorrect;;;;Cylinder 2 Glow Plug Incorrect___
;;;;;___
P06C7 ;Cylinder 3 Glow Plug Incorrect;;;;Cylinder 3 Glow Plug Incorrect___
;;;;;___
P06C8 ;Cylinder 4 Glow Plug Incorrect;;;;Cylinder 4 Glow Plug Incorrect___
;;;;;___
P06C9 ;Cylinder 5 Glow Plug Incorrect;;;;Cylinder 5 Glow Plug Incorrect___
;;;;;___
P06CA ;Cylinder 6 Glow Plug Incorrect;;;;Cylinder 6 Glow Plug Incorrect___
;;;;;___
P06CB ;Cylinder 7 Glow Plug Incorrect;;;;Cylinder 7 Glow Plug Incorrect___
;;;;;___
P06CC ;Cylinder 8 Glow Plug Incorrect;;;;Cylinder 8 Glow Plug Incorrect___
;;;;;___
P06CD ;Cylinder 9 Glow Plug Incorrect;;;;Cylinder 9 Glow Plug Incorrect___
;;;;;___
P06CE ;Cylinder 10 Glow Plug Incorrect;;;;Cylinder 10 Glow Plug Incorrect___
;;;;;___
P06CF ;Cylinder 11 Glow Plug Incorrect;;;;Cylinder 11 Glow Plug Incorrect___
;;;;;___
P06D0 ;Cylinder 12 Glow Plug Incorrect;;;;Cylinder 12 Glow Plug Incorrect___
;;;;;___
P06D1 ;Internal Control Module Ignition Coil Control Performance;;;;Internal Control Module Ignition Coil Control Performance___
P0700 through P0799;;;;;___
;;;;;___
P0700 ;Transmission Control System Malfunction;;;;Transmission Control System Malfunction___
;;;;;___
P0701 ;Transmission Control System Range/Performance;;;;Transmission Control System Range/Performance___
;;;;;___
P0702 ;Transmission Control System Electrical;;;;Transmission Control System Electrical___
;;;;;___
P0703 ;Torque Converter/Brake Switch B Circuit Malfunction;;;;Torque Converter/Brake Switch B Circuit Malfunction___
;;;;;___
P0704 ;Clutch Switch Input Circuit Malfunction;;;;Clutch Switch Input Circuit Malfunction___
;;;;;___
